type;gateway_eui;node_eui;snr;rssi;len;cr;datarate;time;data
16;0000B827EB24A52C;8;6;-37;20;5;SF7BW125;2025-06-27 17:55:41;{"RSSI": -37, "SNR": 6, "TC": 26.87};
16;0000B827EB24A52C;8;6;-37;20;5;SF7BW125;2025-06-27 17:55:57;{"RSSI": -37, "SNR": 6, "TC": 26.87};
16;0000B827EB24A52C;8;2;-35;20;5;SF7BW125;2025-06-27 17:56:28;{"RSSI": -35, "SNR": 2, "TC": 26.93};
16;0000B827EB24A52C;8;5;-33;20;5;SF7BW500;2025-06-27 17:56:45;{"RSSI": -33, "SNR": 5, "TC": 26.87};
16;0000B827EB24A52C;8;5;-33;20;5;SF7BW500;2025-06-27 17:57:00;{"RSSI": -33, "SNR": 5, "TC": 26.87};
16;0000B827EB24A52C;8;5;-33;20;5;SF7BW500;2025-06-27 17:57:15;{"RSSI": -33, "SNR": 5, "TC": 26.93};
16;0000B827EB24A52C;8;4;-32;20;5;SF7BW500;2025-06-27 17:57:31;{"RSSI": -32, "SNR": 4, "TC": 26.87};
16;0000B827EB24A52C;8;4;-35;50;5;SF7BW125;2025-06-27 17:57:52;{"RSSI": -35, "SNR": 4, "TC": 26.68};
16;0000B827EB24A52C;8;6;-35;50;5;SF7BW125;2025-06-27 17:58:22;{"RSSI": -35, "SNR": 6, "TC": 26.62};
16;0000B827EB24A52C;8;6;-36;50;5;SF7BW125;2025-06-27 17:58:38;{"RSSI": -36, "SNR": 6, "TC": 26.68};
16;0000B827EB24A52C;8;6;-36;80;5;SF7BW125;2025-06-27 17:58:59;{"RSSI": -36, "SNR": 6, "TC": 26.75};
16;0000B827EB24A52C;8;6;-36;80;5;SF7BW125;2025-06-27 17:59:13;{"RSSI": -36, "SNR": 6, "TC": 26.75};
16;0000B827EB24A52C;8;6;-34;80;5;SF7BW125;2025-06-27 17:59:29;{"RSSI": -34, "SNR": 6, "TC": 26.81};
16;0000B827EB24A52C;8;6;-34;80;5;SF7BW125;2025-06-27 17:59:45;{"RSSI": -34, "SNR": 6, "TC": 26.81};
16;0000B827EB24A52C;8;7;-35;20;5;SF9BW125;2025-06-27 18:00:06;{"RSSI": -35, "SNR": 7, "TC": 26.87};
16;0000B827EB24A52C;8;6;-37;20;5;SF9BW125;2025-06-27 18:00:20;{"RSSI": -37, "SNR": 6, "TC": 26.87};
16;0000B827EB24A52C;8;8;-35;20;5;SF9BW125;2025-06-27 18:00:36;{"RSSI": -35, "SNR": 8, "TC": 26.93};
16;0000B827EB24A52C;8;7;-35;20;5;SF9BW125;2025-06-27 18:00:52;{"RSSI": -35, "SNR": 7, "TC": 26.93};
16;0000B827EB24A52C;8;6;-36;20;5;SF9BW500;2025-06-27 18:01:12;{"RSSI": -36, "SNR": 6, "TC": 26.93};
16;0000B827EB24A52C;8;6;-35;20;5;SF9BW500;2025-06-27 18:01:27;{"RSSI": -35, "SNR": 6, "TC": 26.87};
16;0000B827EB24A52C;8;6;-35;20;5;SF9BW500;2025-06-27 18:01:43;{"RSSI": -35, "SNR": 6, "TC": 26.93};
16;0000B827EB24A52C;8;7;-35;20;5;SF9BW500;2025-06-27 18:01:59;{"RSSI": -35, "SNR": 7, "TC": 27.0};
16;0000B827EB24A52C;8;6;-35;50;5;SF9BW125;2025-06-27 18:02:19;{"RSSI": -35, "SNR": 6, "TC": 26.87};
16;0000B827EB24A52C;8;6;-36;50;5;SF9BW125;2025-06-27 18:02:35;{"RSSI": -36, "SNR": 6, "TC": 26.87};
16;0000B827EB24A52C;8;8;-21;50;5;SF9BW125;2025-06-27 18:02:51;{"RSSI": -21, "SNR": 8, "TC": 26.87};
16;0000B827EB24A52C;8;4;-37;80;5;SF9BW125;2025-06-27 18:03:26;{"RSSI": -37, "SNR": 4, "TC": 26.75};
16;0000B827EB24A52C;8;8;-22;80;5;SF9BW125;2025-06-27 18:03:42;{"RSSI": -22, "SNR": 8, "TC": 26.62};
16;0000B827EB24A52C;8;8;-37;80;5;SF9BW125;2025-06-27 18:03:58;{"RSSI": -37, "SNR": 8, "TC": 26.68};
16;0000B827EB24A52C;8;7;-24;80;5;SF9BW125;2025-06-27 18:04:15;{"RSSI": -24, "SNR": 7, "TC": 26.68};
16;0000B827EB24A52C;8;2;-36;20;5;SF12BW125;2025-06-27 18:04:34;{"RSSI": -36, "SNR": 2, "TC": 26.68};
16;0000B827EB24A52C;8;-9;-31;20;5;SF12BW125;2025-06-27 18:04:52;{"RSSI": -31, "SNR": -9, "TC": 26.68};
16;0000B827EB24A52C;8;-10;-30;20;5;SF12BW125;2025-06-27 18:05:09;{"RSSI": -30, "SNR": -10, "TC": 26.75};
16;0000B827EB24A52C;8;6;-36;20;5;SF12BW125;2025-06-27 18:05:26;{"RSSI": -36, "SNR": 6, "TC": 26.81};
16;0000B827EB24A52C;8;7;-34;20;5;SF12BW500;2025-06-27 18:05:42;{"RSSI": -34, "SNR": 7, "TC": 26.87};
16;0000B827EB24A52C;8;1;-22;20;5;SF12BW500;2025-06-27 18:05:58;{"RSSI": -22, "SNR": 1, "TC": 26.87};
16;0000B827EB24A52C;8;6;-33;20;5;SF12BW500;2025-06-27 18:06:14;{"RSSI": -33, "SNR": 6, "TC": 26.62};
16;0000B827EB24A52C;8;1;-33;20;5;SF12BW500;2025-06-27 18:06:30;{"RSSI": -33, "SNR": 1, "TC": 26.56};
16;0000B827EB24A52C;8;3;-37;50;5;SF12BW125;2025-06-27 18:06:49;{"RSSI": -37, "SNR": 3, "TC": 26.62};
16;0000B827EB24A52C;8;-8;-31;50;5;SF12BW125;2025-06-27 18:07:08;{"RSSI": -31, "SNR": -8, "TC": 26.62};
16;0000B827EB24A52C;8;7;-37;50;5;SF12BW125;2025-06-27 18:07:26;{"RSSI": -37, "SNR": 7, "TC": 26.68};
16;0000B827EB24A52C;8;6;-36;80;5;SF12BW125;2025-06-27 18:08:04;{"RSSI": -36, "SNR": 6, "TC": 26.62};
16;0000B827EB24A52C;8;7;-37;80;5;SF12BW125;2025-06-27 18:08:23;{"RSSI": -37, "SNR": 7, "TC": 26.62};
16;0000B827EB24A52C;8;7;-36;80;5;SF12BW125;2025-06-27 18:08:42;{"RSSI": -36, "SNR": 7, "TC": 26.68};
